number,value,params_buffer_num,params_buffer_unroll,params_ctas_per_sm,params_num_warp,params_uncached,user_attrs_build_dir,user_attrs_registers,user_attrs_seq_len,user_attrs_spill_loads_bytes,user_attrs_spill_stores_bytes,user_attrs_stack_bytes,state
170,64469440.0,5,6,2,2,0,/root/TFG-FlashAttention/build,166.0,65536.0,0.0,0.0,0.0,COMPLETE
171,44765536.0,4,6,2,4,0,/root/TFG-FlashAttention/build,168.0,65536.0,0.0,0.0,0.0,COMPLETE
172,45579712.0,3,5,2,4,0,/root/TFG-FlashAttention/build,156.0,65536.0,0.0,0.0,0.0,COMPLETE
173,45297856.0,4,7,3,4,0,/root/TFG-FlashAttention/build,160.0,65536.0,0.0,0.0,0.0,COMPLETE
174,44760928.0,4,6,2,4,1,/root/TFG-FlashAttention/build,168.0,65536.0,0.0,0.0,0.0,COMPLETE
175,44694464.0,4,6,2,4,1,/root/TFG-FlashAttention/build,168.0,65536.0,0.0,0.0,0.0,COMPLETE
176,44772704.0,4,6,2,4,1,/root/TFG-FlashAttention/build,168.0,65536.0,0.0,0.0,0.0,COMPLETE
177,44784832.0,4,6,2,4,1,/root/TFG-FlashAttention/build,168.0,65536.0,0.0,0.0,0.0,COMPLETE
178,100762240.0,4,6,2,1,1,/root/TFG-FlashAttention/build,161.0,65536.0,0.0,0.0,0.0,COMPLETE
179,449431680.0,4,6,2,16,1,/root/TFG-FlashAttention/build,64.0,65536.0,2536.0,2128.0,552.0,COMPLETE
180,45221408.0,4,6,1,4,0,/root/TFG-FlashAttention/build,167.0,65536.0,0.0,0.0,0.0,COMPLETE
181,47025152.0,4,4,2,4,0,/root/TFG-FlashAttention/build,174.0,65536.0,0.0,0.0,0.0,COMPLETE
182,98587136.0,4,5,2,1,1,/root/TFG-FlashAttention/build,160.0,65536.0,0.0,0.0,0.0,COMPLETE
183,50355424.0,4,5,2,8,0,/root/TFG-FlashAttention/build,128.0,65536.0,164.0,84.0,56.0,COMPLETE
184,448662528.0,4,7,2,16,0,/root/TFG-FlashAttention/build,64.0,65536.0,2912.0,2416.0,536.0,COMPLETE
185,449442880.0,4,6,2,16,0,/root/TFG-FlashAttention/build,64.0,65536.0,2536.0,2128.0,552.0,COMPLETE
186,98557248.0,4,5,2,1,0,/root/TFG-FlashAttention/build,160.0,65536.0,0.0,0.0,0.0,COMPLETE
187,44700064.0,4,6,2,4,1,/root/TFG-FlashAttention/build,168.0,65536.0,0.0,0.0,0.0,COMPLETE
188,72467360.0,4,8,2,8,0,/root/TFG-FlashAttention/build,128.0,65536.0,736.0,440.0,248.0,COMPLETE
189,49684448.0,4,7,2,8,1,/root/TFG-FlashAttention/build,128.0,65536.0,244.0,92.0,72.0,COMPLETE
190,47019488.0,4,4,1,4,0,/root/TFG-FlashAttention/build,174.0,65536.0,0.0,0.0,0.0,COMPLETE
191,98164576.0,4,7,2,1,0,/root/TFG-FlashAttention/build,168.0,65536.0,0.0,0.0,0.0,COMPLETE
192,54659264.0,4,6,2,2,0,/root/TFG-FlashAttention/build,161.0,65536.0,0.0,0.0,0.0,COMPLETE
193,50668512.0,4,6,2,8,1,/root/TFG-FlashAttention/build,128.0,65536.0,224.0,76.0,72.0,COMPLETE
194,46803872.0,5,5,2,4,1,/root/TFG-FlashAttention/build,159.0,65536.0,0.0,0.0,0.0,COMPLETE
195,100756736.0,4,6,3,1,1,/root/TFG-FlashAttention/build,161.0,65536.0,0.0,0.0,0.0,COMPLETE
196,53832672.0,4,5,2,2,1,/root/TFG-FlashAttention/build,160.0,65536.0,0.0,0.0,0.0,COMPLETE
197,450625632.0,4,5,2,16,0,/root/TFG-FlashAttention/build,64.0,65536.0,2164.0,1836.0,520.0,COMPLETE
198,45198208.0,4,7,2,4,0,/root/TFG-FlashAttention/build,160.0,65536.0,0.0,0.0,0.0,COMPLETE
199,44705920.0,4,6,2,4,1,/root/TFG-FlashAttention/build,168.0,65536.0,0.0,0.0,0.0,COMPLETE
